,Title,Link,Year,Rating,Movie_ID
84,Kimi no na wa.,https://www.imdb.com/title/tt5311514/reviews?ref_=tt_urv,2016,8.3,/title/tt5311514/
85,Singin' in the Rain,https://www.imdb.com/title/tt0045152/reviews?ref_=tt_urv,1952,8.3,/title/tt0045152/
86,3 Idiots,https://www.imdb.com/title/tt1187043/reviews?ref_=tt_urv,2009,8.3,/title/tt1187043/
87,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/reviews?ref_=tt_urv,1983,8.3,/title/tt0086190/
88,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/reviews?ref_=tt_urv,1968,8.3,/title/tt0062622/
89,Reservoir Dogs,https://www.imdb.com/title/tt0105236/reviews?ref_=tt_urv,1992,8.3,/title/tt0105236/
90,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/reviews?ref_=tt_urv,2004,8.3,/title/tt0338013/
91,Tengoku to jigoku,https://www.imdb.com/title/tt0057565/reviews?ref_=tt_urv,1963,8.3,/title/tt0057565/
92,Capharnaüm,https://www.imdb.com/title/tt8267604/reviews?ref_=tt_urv,2018,8.3,/title/tt8267604/
93,Citizen Kane,https://www.imdb.com/title/tt0033467/reviews?ref_=tt_urv,1941,8.3,/title/tt0033467/
94,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/reviews?ref_=tt_urv,1962,8.3,/title/tt0056172/
95,Jagten,https://www.imdb.com/title/tt2106476/reviews?ref_=tt_urv,2012,8.3,/title/tt2106476/
96,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/reviews?ref_=tt_urv,1931,8.3,/title/tt0022100/
97,North by Northwest,https://www.imdb.com/title/tt0053125/reviews?ref_=tt_urv,1959,8.3,/title/tt0053125/
98,Vertigo,https://www.imdb.com/title/tt0052357/reviews?ref_=tt_urv,1958,8.2,/title/tt0052357/
99,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/reviews?ref_=tt_urv,2001,8.2,/title/tt0211915/
100,A Clockwork Orange,https://www.imdb.com/title/tt0066921/reviews?ref_=tt_urv,1971,8.2,/title/tt0066921/
101,Idi i smotri,https://www.imdb.com/title/tt0091251/reviews?ref_=tt_urv,1985,8.2,/title/tt0091251/
102,Full Metal Jacket,https://www.imdb.com/title/tt0093058/reviews?ref_=tt_urv,1987,8.2,/title/tt0093058/
103,Double Indemnity,https://www.imdb.com/title/tt0036775/reviews?ref_=tt_urv,1944,8.2,/title/tt0036775/
104,The Apartment,https://www.imdb.com/title/tt0053604/reviews?ref_=tt_urv,1960,8.2,/title/tt0053604/
105,Scarface,https://www.imdb.com/title/tt0086250/reviews?ref_=tt_urv,1983,8.2,/title/tt0086250/
106,Ikiru,https://www.imdb.com/title/tt0044741/reviews?ref_=tt_urv,1952,8.2,/title/tt0044741/
107,The Sting,https://www.imdb.com/title/tt0070735/reviews?ref_=tt_urv,1973,8.2,/title/tt0070735/
108,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/reviews?ref_=tt_urv,1962,8.2,/title/tt0056592/
109,Taxi Driver,https://www.imdb.com/title/tt0075314/reviews?ref_=tt_urv,1976,8.2,/title/tt0075314/
110,L.A. Confidential,https://www.imdb.com/title/tt0119488/reviews?ref_=tt_urv,1997,8.2,/title/tt0119488/
111,Up,https://www.imdb.com/title/tt1049413/reviews?ref_=tt_urv,2009,8.2,/title/tt1049413/
112,Heat,https://www.imdb.com/title/tt0113277/reviews?ref_=tt_urv,1995,8.2,/title/tt0113277/
113,Hamilton,https://www.imdb.com/title/tt8503618/reviews?ref_=tt_urv,2020,8.2,/title/tt8503618/
114,Metropolis,https://www.imdb.com/title/tt0017136/reviews?ref_=tt_urv,1927,8.2,/title/tt0017136/
115,Snatch,https://www.imdb.com/title/tt0208092/reviews?ref_=tt_urv,2000,8.2,/title/tt0208092/
116,Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/reviews?ref_=tt_urv,2011,8.2,/title/tt1832382/
117,Die Hard,https://www.imdb.com/title/tt0095016/reviews?ref_=tt_urv,1988,8.2,/title/tt0095016/
118,Incendies,https://www.imdb.com/title/tt1255953/reviews?ref_=tt_urv,2010,8.2,/title/tt1255953/
119,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/reviews?ref_=tt_urv,2021,8.2,/title/tt10872600/
120,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/reviews?ref_=tt_urv,1989,8.2,/title/tt0097576/
121,Ladri di biciclette,https://www.imdb.com/title/tt0040522/reviews?ref_=tt_urv,1948,8.2,/title/tt0040522/
122,Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/reviews?ref_=tt_urv,2022,8.2,/title/tt6710474/
123,1917,https://www.imdb.com/title/tt8579674/reviews?ref_=tt_urv,2019,8.2,/title/tt8579674/
124,Taare Zameen Par,https://www.imdb.com/title/tt0986264/reviews?ref_=tt_urv,2007,8.2,/title/tt0986264/
125,Der Untergang,https://www.imdb.com/title/tt0363163/reviews?ref_=tt_urv,2004,8.2,/title/tt0363163/
126,Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/reviews?ref_=tt_urv,1965,8.2,/title/tt0059578/
127,Batman Begins,https://www.imdb.com/title/tt0372784/reviews?ref_=tt_urv,2005,8.2,/title/tt0372784/
128,Dangal,https://www.imdb.com/title/tt5074352/reviews?ref_=tt_urv,2016,8.2,/title/tt5074352/
129,The Kid,https://www.imdb.com/title/tt0012349/reviews?ref_=tt_urv,1921,8.2,/title/tt0012349/
130,Some Like It Hot,https://www.imdb.com/title/tt0053291/reviews?ref_=tt_urv,1959,8.2,/title/tt0053291/
131,The Father,https://www.imdb.com/title/tt10272386/reviews?ref_=tt_urv,2020,8.2,/title/tt10272386/
132,All About Eve,https://www.imdb.com/title/tt0042192/reviews?ref_=tt_urv,1950,8.2,/title/tt0042192/
133,Green Book,https://www.imdb.com/title/tt6966692/reviews?ref_=tt_urv,2018,8.2,/title/tt6966692/
134,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/reviews?ref_=tt_urv,2013,8.2,/title/tt0993846/
135,Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/reviews?ref_=tt_urv,1961,8.2,/title/tt0055031/
136,Unforgiven,https://www.imdb.com/title/tt0105695/reviews?ref_=tt_urv,1992,8.2,/title/tt0105695/
137,Casino,https://www.imdb.com/title/tt0112641/reviews?ref_=tt_urv,1995,8.2,/title/tt0112641/
138,Ran,https://www.imdb.com/title/tt0089881/reviews?ref_=tt_urv,1985,8.2,/title/tt0089881/
139,Pan's Labyrinth,https://www.imdb.com/title/tt0457430/reviews?ref_=tt_urv,2006,8.2,/title/tt0457430/
140,There Will Be Blood,https://www.imdb.com/title/tt0469494/reviews?ref_=tt_urv,2007,8.2,/title/tt0469494/
141,The Sixth Sense,https://www.imdb.com/title/tt0167404/reviews?ref_=tt_urv,1999,8.2,/title/tt0167404/
142,A Beautiful Mind,https://www.imdb.com/title/tt0268978/reviews?ref_=tt_urv,2001,8.2,/title/tt0268978/
143,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/reviews?ref_=tt_urv,1975,8.2,/title/tt0071853/
144,The Truman Show,https://www.imdb.com/title/tt0120382/reviews?ref_=tt_urv,1998,8.2,/title/tt0120382/
145,Yôjinbô,https://www.imdb.com/title/tt0055630/reviews?ref_=tt_urv,1961,8.1,/title/tt0055630/
146,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/reviews?ref_=tt_urv,1948,8.1,/title/tt0040897/
147,Rashômon,https://www.imdb.com/title/tt0042876/reviews?ref_=tt_urv,1950,8.1,/title/tt0042876/
148,The Great Escape,https://www.imdb.com/title/tt0057115/reviews?ref_=tt_urv,1963,8.1,/title/tt0057115/
149,Shutter Island,https://www.imdb.com/title/tt1130884/reviews?ref_=tt_urv,2010,8.1,/title/tt1130884/
150,Jurassic Park,https://www.imdb.com/title/tt0107290/reviews?ref_=tt_urv,1993,8.1,/title/tt0107290/
151,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/reviews?ref_=tt_urv,2003,8.1,/title/tt0266697/
152,No Country for Old Men,https://www.imdb.com/title/tt0477348/reviews?ref_=tt_urv,2007,8.1,/title/tt0477348/
153,The Elephant Man,https://www.imdb.com/title/tt0080678/reviews?ref_=tt_urv,1980,8.1,/title/tt0080678/
154,Finding Nemo,https://www.imdb.com/title/tt0266543/reviews?ref_=tt_urv,2003,8.1,/title/tt0266543/
155,Raging Bull,https://www.imdb.com/title/tt0081398/reviews?ref_=tt_urv,1980,8.1,/title/tt0081398/
156,Chinatown,https://www.imdb.com/title/tt0071315/reviews?ref_=tt_urv,1974,8.1,/title/tt0071315/
157,Gone with the Wind,https://www.imdb.com/title/tt0031381/reviews?ref_=tt_urv,1939,8.1,/title/tt0031381/
158,V for Vendetta,https://www.imdb.com/title/tt0434409/reviews?ref_=tt_urv,2005,8.1,/title/tt0434409/
159,Inside Out,https://www.imdb.com/title/tt2096673/reviews?ref_=tt_urv,2015,8.1,/title/tt2096673/
160,The Thing,https://www.imdb.com/title/tt0084787/reviews?ref_=tt_urv,1982,8.1,/title/tt0084787/
161,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/reviews?ref_=tt_urv,1998,8.1,/title/tt0120735/
162,Dial M for Murder,https://www.imdb.com/title/tt0046912/reviews?ref_=tt_urv,1954,8.1,/title/tt0046912/
163,El secreto de sus ojos,https://www.imdb.com/title/tt1305806/reviews?ref_=tt_urv,2009,8.1,/title/tt1305806/
164,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/reviews?ref_=tt_urv,1957,8.1,/title/tt0050212/
165,Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/reviews?ref_=tt_urv,2004,8.1,/title/tt0347149/
166,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/reviews?ref_=tt_urv,2017,8.1,/title/tt5027774/
167,Trainspotting,https://www.imdb.com/title/tt0117951/reviews?ref_=tt_urv,1996,8.1,/title/tt0117951/
168,Gran Torino,https://www.imdb.com/title/tt1205489/reviews?ref_=tt_urv,2008,8.1,/title/tt1205489/
169,Warrior,https://www.imdb.com/title/tt1291584/reviews?ref_=tt_urv,2011,8.1,/title/tt1291584/
170,Fargo,https://www.imdb.com/title/tt0116282/reviews?ref_=tt_urv,1996,8.1,/title/tt0116282/
171,Tonari no Totoro,https://www.imdb.com/title/tt0096283/reviews?ref_=tt_urv,1988,8.1,/title/tt0096283/
172,Prisoners,https://www.imdb.com/title/tt1392214/reviews?ref_=tt_urv,2013,8.1,/title/tt1392214/
173,Million Dollar Baby,https://www.imdb.com/title/tt0405159/reviews?ref_=tt_urv,2004,8.1,/title/tt0405159/
174,The Gold Rush,https://www.imdb.com/title/tt0015864/reviews?ref_=tt_urv,1925,8.1,/title/tt0015864/
175,Blade Runner,https://www.imdb.com/title/tt0083658/reviews?ref_=tt_urv,1982,8.1,/title/tt0083658/
176,Catch Me If You Can,https://www.imdb.com/title/tt0264464/reviews?ref_=tt_urv,2002,8.1,/title/tt0264464/
177,On the Waterfront,https://www.imdb.com/title/tt0047296/reviews?ref_=tt_urv,1954,8.1,/title/tt0047296/
178,The Third Man,https://www.imdb.com/title/tt0041959/reviews?ref_=tt_urv,1949,8.1,/title/tt0041959/
179,Bacheha-Ye aseman,https://www.imdb.com/title/tt0118849/reviews?ref_=tt_urv,1997,8.1,/title/tt0118849/
180,Ben-Hur,https://www.imdb.com/title/tt0052618/reviews?ref_=tt_urv,1959,8.1,/title/tt0052618/
181,12 Years a Slave,https://www.imdb.com/title/tt2024544/reviews?ref_=tt_urv,2013,8.1,/title/tt2024544/
182,The General,https://www.imdb.com/title/tt0017925/reviews?ref_=tt_urv,1926,8.1,/title/tt0017925/
183,Smultronstället,https://www.imdb.com/title/tt0050986/reviews?ref_=tt_urv,1957,8.1,/title/tt0050986/
